Date_and_Time,Num_of_ED_Beds,Num_of_IP_Beds,Num_of_ED_Pts,Num_of_ED_Pts_Waiting_IP_Bed,Num_of_Critical_Care_Pts,Door_to_Bed_Time_for_Last_ED_Patient,Longest_Admit_Time_Waiting_in_ED
5/1/16 0:00,72,532,57,9,3.5,1.82,3.55
5/1/16 1:00,72,532,57,8,5.5,1.05,4.25
5/1/16 2:00,72,532,52,9,5.5,1.1,6.91
5/1/16 3:00,72,532,40,9,5.5,1.56,1.49
5/1/16 4:00,72,532,40,9,6.5,0.01,2.11
5/1/16 5:00,72,532,34,9,5.5,0.18,3.33
5/1/16 6:00,72,532,26,11,6,0.22,1.76
5/1/16 7:00,72,532,28,10,9,0.03,0.66
5/1/16 8:00,72,532,29,12,9,0.25,0
5/1/16 9:00,72,532,36,11,9,0.84,1.36
5/1/16 10:00,72,532,51,9,9,0.21,11.14
5/1/16 11:00,72,532,61,16,9,0.29,0
5/1/16 12:00,72,532,70,17,9,0.01,6.19
5/1/16 13:00,72,532,69,15,8,2.66,23.21
5/1/16 14:00,72,532,80,14,7,0.56,13.42
5/1/16 15:00,72,532,72,13,7.5,1.63,15.76
5/1/16 16:00,72,532,69,13,6.5,3.8,5.58
5/1/16 17:00,72,532,65,7,6.5,1.14,16.67
5/1/16 18:00,72,532,71,10,8.5,4.29,1.89
5/1/16 19:00,72,532,66,6,7,2.32,3.75
5/1/16 20:00,72,532,71,9,6,0.03,3.78
5/1/16 21:00,72,532,70,8,6,0.11,2.3
5/1/16 22:00,72,532,57,8,5,0.76,2.09
5/1/16 23:00,72,532,57,9,5.5,2.24,0
5/2/16 0:00,72,532,55,12,6,0.07,5.39
5/2/16 1:00,72,532,43,9,5,0.01,3.99
5/2/16 2:00,72,532,41,13,5,0.05,0
5/2/16 3:00,72,532,35,12,5,0.03,2
5/2/16 4:00,72,532,29,11,4.5,0.01,1.7
5/2/16 5:00,72,532,29,11,4.5,0.03,0
5/2/16 6:00,72,532,29,12,5.5,0.02,0
5/2/16 7:00,72,532,38,11,6.5,0.02,3.52
5/2/16 8:00,72,532,39,9,5.5,0.02,11.15
5/2/16 9:00,72,532,48,9,7.5,0.03,2.39
5/2/16 10:00,72,532,60,11,9.5,0.01,0
5/2/16 11:00,72,532,62,14,8,0.67,15.15
5/2/16 12:00,72,532,74,14,8,0.59,16.19
5/2/16 13:00,72,532,69,8,6,1.9,16.37
5/2/16 14:00,72,532,70,7,5.5,0.02,3.3
5/2/16 15:00,72,532,78,7,6.5,2.43,3.86
5/2/16 16:00,72,532,94,10,7,0.77,14.44
5/2/16 17:00,72,532,92,12,5.5,0.02,7.25
5/2/16 18:00,72,532,96,14,4.5,0.03,2.99
5/2/16 19:00,72,532,105,16,4.5,2.11,2.26
5/2/16 20:00,72,532,101,13,5,1.46,5.48
5/2/16 21:00,72,532,109,15,6.5,0.03,4.71
5/2/16 22:00,72,532,92,16,5,0.02,4.53
5/2/16 23:00,72,532,86,15,4.5,2.8,5.1
5/3/16 0:00,72,532,82,18,4.5,0.03,1.48
5/3/16 1:00,72,532,80,20,5.5,3.44,4.5
5/3/16 2:00,72,532,59,12,3,3.77,5.64
5/3/16 3:00,72,532,51,11,1.5,0.36,6.06
