EVENT_TIME,DEPT_NEDOC_SCORE
5/1/16 0:01,119.28
5/1/16 0:15,114.46
5/1/16 0:30,109.91
5/1/16 0:45,114.04
5/1/16 1:00,115.41
5/1/16 1:16,109.75
5/1/16 1:30,109.35
5/1/16 1:46,122.23
5/1/16 2:01,125.8
5/1/16 2:15,123.63
5/1/16 2:31,120.54
5/1/16 2:46,119.95
5/1/16 3:01,121.44
5/1/16 3:15,121.59
5/1/16 3:30,122.79
5/1/16 3:45,119.66
5/1/16 4:00,116.63
5/1/16 4:15,108.59
5/1/16 4:30,108.43
5/1/16 4:45,108.67
5/1/16 5:01,107.51
5/1/16 5:15,92.34
5/1/16 5:30,92.12
5/1/16 5:46,91.92
5/1/16 6:00,91.58
5/1/16 6:15,104.67
5/1/16 6:30,87.49
5/1/16 6:45,88.85
5/1/16 7:00,87.45
5/1/16 7:15,86.74
5/1/16 7:30,99.08
5/1/16 7:45,99.2
5/1/16 8:00,116.08
5/1/16 8:15,131.25
5/1/16 8:30,127.47
5/1/16 8:45,130.68
5/1/16 9:00,133.67
5/1/16 9:15,134.04
5/1/16 9:30,134.61
5/1/16 9:45,138.07
5/1/16 10:00,124.29
5/1/16 10:15,121.52
5/1/16 10:30,125.83
5/1/16 10:45,141.51
5/1/16 11:00,146.13
5/1/16 11:15,167.67
5/1/16 11:30,167.82
5/1/16 11:45,176.7
5/1/16 12:00,174.62
5/1/16 12:15,180.96
5/1/16 12:30,186.52
5/1/16 12:45,187.19
5/1/16 13:00,180.17
5/1/16 13:15,182.86
5/1/16 13:30,183.92
5/1/16 13:45,178.56
5/1/16 14:00,194.86
5/1/16 14:15,172.4
5/1/16 14:30,172.44
5/1/16 14:45,183.48
5/1/16 15:00,182.31
5/1/16 15:15,197.76
5/1/16 15:30,193.59
5/1/16 15:45,176.71
5/1/16 16:00,179.13
5/1/16 16:15,175.62
5/1/16 16:30,180.34
5/1/16 16:45,195.81
5/1/16 17:00,181.24
5/1/16 17:15,173.85
5/1/16 17:30,179.05
5/1/16 17:45,168.96
5/1/16 18:00,156.76
5/1/16 18:15,185.93
5/1/16 18:30,183.6
5/1/16 18:45,188.88
5/1/16 19:00,210.72
5/1/16 19:15,218.59
5/1/16 19:30,186.91
5/1/16 19:45,196.04
5/1/16 20:00,180.25
5/1/16 20:15,159.22
5/1/16 20:30,164.04
5/1/16 20:45,158.18
5/1/16 21:00,160.92
5/1/16 21:15,166.54
5/1/16 21:30,162.93
5/1/16 21:45,149.32
5/1/16 22:00,144.54
5/1/16 22:15,139.99
5/1/16 22:30,131.77
5/1/16 22:45,123.72
5/1/16 23:00,125.92
5/1/16 23:15,124.12
5/1/16 23:30,140.62
5/1/16 23:45,141.29
5/2/16 0:00,149.39
5/2/16 0:15,137.99
5/2/16 0:30,134.95
5/2/16 0:45,134.79
5/2/16 1:01,137.47
5/2/16 1:15,123.47
5/2/16 1:30,117.25
5/2/16 1:45,113.48
5/2/16 2:00,115.28
5/2/16 2:15,113.53
5/2/16 2:30,112.96
5/2/16 2:46,119.97
5/2/16 3:00,119.25
5/2/16 3:15,117.87
5/2/16 3:30,115.97
5/2/16 3:45,114.2
5/2/16 4:00,113.19
5/2/16 4:15,115.43
5/2/16 4:30,111.21
5/2/16 4:45,110.61
5/2/16 5:00,110.05
5/2/16 5:15,108.64
5/2/16 5:30,109.63
5/2/16 5:45,109.87
5/2/16 6:00,108.48
5/2/16 6:15,108.71
5/2/16 6:30,109.32
5/2/16 6:45,111.21
5/2/16 7:00,109.81
5/2/16 7:15,125.94
5/2/16 7:30,128.76
5/2/16 7:45,140.83
5/2/16 8:00,142.46
5/2/16 8:15,141.54
5/2/16 8:30,143.78
5/2/16 8:45,144.26
5/2/16 9:00,127.26
5/2/16 9:15,141.39
5/2/16 9:30,144.24
5/2/16 9:45,157.79
5/2/16 10:00,174.62
5/2/16 10:15,177.18
5/2/16 10:30,181.01
5/2/16 10:45,186.24
5/2/16 11:00,201.14
